기준년월,시군구,평균소득월액
2021-12,충청남도서산시,1392694
2021-12,충청남도논산시,1328623
2021-12,충청남도계룡시,1363547
2021-12,충청남도당진시,1444456
2021-12,충청남도금산군,1320521
2021-12,충청남도부여군,1262242
2021-12,충청남도서천군,1423927
2021-12,충청남도청양군,1291631
2021-12,충청남도홍성군,1389454
2021-12,충청남도예산군,1329243
2021-12,충청남도태안군,1416702
2021-12,전북특별자치도전주시,1367266
2021-12,전북특별자치도군산시,1341380
2021-12,전북특별자치도익산시,1317597
2021-12,전북특별자치도정읍시,1282897
2021-12,전북특별자치도남원시,1250173
2021-12,전북특별자치도김제시,1266789
2021-12,전북특별자치도완주군,1288520
2021-12,전북특별자치도진안군,1201993
2021-12,전북특별자치도무주군,1269737
2021-12,전북특별자치도장수군,1206927
2021-12,전북특별자치도임실군,1229772
2021-12,전북특별자치도순창군,1217767
2021-12,전북특별자치도고창군,1269574
2021-12,전북특별자치도부안군,1264074
2021-12,전라남도목포시,1247699
2021-12,전라남도여수시,1416109
2021-12,전라남도순천시,1378619
2021-12,전라남도나주시,1279147
2021-12,전라남도광양시,1394382
2021-12,전라남도담양군,1282783
2021-12,전라남도곡성군,1268069
2021-12,전라남도구례군,1218518
2021-12,전라남도고흥군,1231336
2021-12,전라남도보성군,1250040
2021-12,전라남도화순군,1303064
2021-12,전라남도장흥군,1274388
2021-12,전라남도강진군,1248268
2021-12,전라남도해남군,1297916
2021-12,전라남도영암군,1220126
2021-12,전라남도무안군,1260628
2021-12,전라남도함평군,1263025
2021-12,전라남도영광군,1290638
2021-12,전라남도장성군,1277917
2021-12,전라남도완도군,1304497
2021-12,전라남도진도군,1273846
2021-12,전라남도신안군,1255261
2021-12,경상북도포항시,1372353
2021-12,경상북도경주시,1340273
2021-12,경상북도김천시,1297702
2021-12,경상북도안동시,1334208
2021-12,경상북도구미시,1349934
2021-12,경상북도영주시,1299066
2021-12,경상북도영천시,1304345
2021-12,경상북도상주시,1282647
2021-12,경상북도문경시,1294532
2021-12,경상북도경산시,1346409
2021-12,경상북도의성군,1201207
2021-12,경상북도청송군,1211504
2021-12,경상북도영양군,1221423
2021-12,경상북도영덕군,1340965
2021-12,경상북도청도군,1238469
2021-12,경상북도고령군,1315902
2021-12,경상북도성주군,1283257
2021-12,경상북도칠곡군,1352144
2021-12,경상북도예천군,1336032
2021-12,경상북도봉화군,1218485
2021-12,경상북도울진군,1457691
2021-12,경상북도울릉군,1485426
2021-12,경상남도창원시,1343817
2021-12,경상남도진주시,1339128
2021-12,경상남도통영시,1333907
2021-12,경상남도사천시,1321228
2021-12,경상남도김해시,1381130
2021-12,경상남도밀양시,1261051
2021-12,경상남도거제시,1272386
2021-12,경상남도양산시,1365127
2021-12,경상남도의령군,1277006
2021-12,경상남도함안군,1359923
2021-12,경상남도창녕군,1286235
2021-12,경상남도고성군,1239811
2021-12,경상남도남해군,1255676
2021-12,경상남도하동군,1285912
2021-12,경상남도산청군,1269596
2021-12,경상남도함양군,1265493
2021-12,경상남도거창군,1301606
2021-12,경상남도합천군,1287646
2021-12,제주특별자치도제주시,1368049
2021-12,제주특별자치도서귀포시,1343801
2022-12,서울특별시종로구,1526707
2022-12,서울특별시중구,1536870
2022-12,서울특별시용산구,1572700
2022-12,서울특별시성동구,1552734
2022-12,서울특별시광진구,1421645
2022-12,서울특별시동대문구,1435662
2022-12,서울특별시중랑구,1376197
2022-12,서울특별시성북구,1447906
2022-12,서울특별시강북구,1347283
2022-12,서울특별시도봉구,1394288
2022-12,서울특별시노원구,1442010
2022-12,서울특별시은평구,1434620
2022-12,서울특별시서대문구,1437513
2022-12,서울특별시마포구,1495740
2022-12,서울특별시양천구,1505570
2022-12,서울특별시강서구,1445660
2022-12,서울특별시구로구,1457633
2022-12,서울특별시금천구,1402001
2022-12,서울특별시영등포구,1516641
2022-12,서울특별시동작구,1479766
2022-12,서울특별시관악구,1362936
2022-12,서울특별시서초구,1717516
2022-12,서울특별시강남구,1755734
2022-12,서울특별시송파구,1576077
2022-12,서울특별시강동구,1476084
2022-12,부산광역시중구,1278878
2022-12,부산광역시서구,1367466
2022-12,부산광역시동구,1333015
2022-12,부산광역시영도구,1327515
2022-12,부산광역시부산진구,1372999
2022-12,부산광역시동래구,1423973
2022-12,부산광역시남구,1371161
2022-12,부산광역시북구,1384492
2022-12,부산광역시해운대구,1427440
2022-12,부산광역시사하구,1361132
2022-12,부산광역시금정구,1386542
2022-12,부산광역시강서구,1446032
2022-12,부산광역시연제구,1381502
2022-12,부산광역시수영구,1373992
2022-12,부산광역시사상구,1394787
2022-12,부산광역시기장군,1362655
2022-12,대구광역시중구,1431430
2022-12,대구광역시동구,1386249
2022-12,대구광역시서구,1337708
2022-12,대구광역시남구,1350983
2022-12,대구광역시북구,1422342
2022-12,대구광역시수성구,1498650
2022-12,대구광역시달서구,1433367
2022-12,대구광역시달성군,1403177
2022-12,대구광역시군위군,1304982
2022-12,인천광역시중구,1422100
2022-12,인천광역시동구,1366162
2022-12,인천광역시남구,1534467
2022-12,인천광역시미추홀구,1348916
2022-12,인천광역시연수구,1528926
2022-12,인천광역시남동구,1391665
2022-12,인천광역시부평구,1401947
2022-12,인천광역시계양구,1392166
2022-12,인천광역시서구,1459575
2022-12,인천광역시강화군,1480579
2022-12,인천광역시옹진군,1550090
2022-12,광주광역시동구,1387301
2022-12,광주광역시서구,1379566
2022-12,광주광역시남구,1353340
2022-12,광주광역시북구,1353060
2022-12,광주광역시광산구,1355418
2022-12,대전광역시동구,1370436
2022-12,대전광역시중구,1384812
2022-12,대전광역시서구,1391979
2022-12,대전광역시유성구,1440554
2022-12,대전광역시대덕구,1370195
2022-12,울산광역시중구,1321355
