지표연도,적용기간,성별,시도,시군구,평균 기대수명,보험료1분위,보험료2분위,보험료3분위,보험료4분위,보험료5분위,기대수명격차
2021,6년,여성,광주광역시,남구,87.20,83.72,86.91,87.34,88.96,90.90,7.18
2021,6년,전체,광주광역시,남구,84.49,80.29,84.17,84.79,86.43,88.14,7.84
2021,6년,남성,광주광역시,북구,81.20,75.24,82.02,82.48,83.61,84.32,9.08
2021,6년,여성,광주광역시,북구,86.16,82.50,86.63,86.66,86.83,89.66,7.17
2021,6년,전체,광주광역시,북구,83.96,78.89,84.45,84.92,85.62,87.59,8.70
2021,6년,남성,광주광역시,광산구,80.54,75.41,80.59,82.32,82.22,83.77,8.36
2021,6년,여성,광주광역시,광산구,85.97,83.00,85.17,86.38,86.98,90.63,7.63
2021,6년,전체,광주광역시,광산구,83.64,79.24,83.15,84.81,85.13,87.90,8.65
2021,4년,남성,대전광역시,전체,81.49,75.71,81.99,82.52,83.29,85.41,9.70
2021,4년,여성,대전광역시,전체,87.35,83.32,87.62,88.31,88.44,90.31,6.99
2021,4년,전체,대전광역시,전체,84.62,79.44,85.02,85.62,86.18,88.27,8.82
2021,6년,남성,대전광역시,동구,79.88,72.90,81.31,81.41,82.31,83.48,10.59
2021,6년,여성,대전광역시,동구,87.13,82.93,86.48,88.45,89.26,90.09,7.16
2021,6년,전체,대전광역시,동구,83.56,77.45,84.06,84.95,85.94,87.06,9.61
2021,6년,남성,대전광역시,중구,80.73,74.85,80.82,82.55,82.32,84.40,9.55
2021,6년,여성,대전광역시,중구,87.51,83.42,86.91,88.18,88.42,93.31,9.89
2021,6년,전체,대전광역시,중구,84.21,78.99,84.07,85.52,85.46,88.54,9.55
2021,6년,남성,대전광역시,서구,82.31,78.08,81.57,82.34,84.36,86.81,8.73
2021,6년,여성,대전광역시,서구,86.68,83.38,86.87,87.48,87.59,89.24,5.86
2021,6년,전체,대전광역시,서구,84.79,80.83,84.43,85.17,86.39,88.43,7.60
2021,6년,남성,대전광역시,유성구,82.27,79.02,81.52,82.32,84.16,85.00,5.98
2021,6년,여성,대전광역시,유성구,87.77,85.86,87.47,88.19,88.64,88.86,3.00
2021,6년,전체,대전광역시,유성구,85.22,82.52,84.58,85.32,86.69,87.43,4.91
2021,6년,남성,대전광역시,대덕구,80.68,75.04,81.60,81.43,82.19,84.62,9.59
2021,6년,여성,대전광역시,대덕구,86.25,82.32,85.86,88.09,86.49,90.52,8.21
2021,6년,전체,대전광역시,대덕구,83.65,78.58,83.96,84.88,84.68,87.99,9.41
2021,4년,남성,울산광역시,전체,80.66,76.27,81.18,81.07,82.46,82.86,6.59
2021,4년,여성,울산광역시,전체,85.93,83.43,86.05,85.90,86.57,88.11,4.68
2021,4년,전체,울산광역시,전체,83.44,79.82,83.72,83.59,84.78,85.78,5.96
2021,6년,남성,울산광역시,중구,80.41,75.72,80.47,80.64,82.13,83.99,8.27
2021,6년,여성,울산광역시,중구,86.39,84.74,86.17,85.90,86.69,89.01,4.27
2021,6년,전체,울산광역시,중구,83.55,80.06,83.47,83.35,84.67,86.99,6.93
2021,6년,남성,울산광역시,남구,80.47,76.15,80.99,81.28,82.27,82.37,6.22
2021,6년,여성,울산광역시,남구,85.82,83.73,85.55,85.76,86.19,88.34,4.61
2021,6년,전체,울산광역시,남구,83.26,79.88,83.35,83.63,84.45,85.50,5.62
2021,6년,남성,울산광역시,동구,80.71,77.50,81.22,79.92,82.47,82.93,5.42
2021,6년,여성,울산광역시,동구,85.57,83.79,85.49,85.52,85.30,88.23,4.43
2021,6년,전체,울산광역시,동구,83.32,80.63,83.56,82.83,84.04,85.76,5.13
2021,6년,남성,울산광역시,북구,80.69,78.21,80.86,80.98,81.62,82.13,3.92
2021,6년,여성,울산광역시,북구,85.50,83.87,85.75,84.67,85.22,89.65,5.78
2021,6년,전체,울산광역시,북구,83.27,81.05,83.39,83.01,83.59,85.99,4.94
2021,6년,남성,울산광역시,울주군,80.13,75.17,80.93,80.68,82.39,82.30,7.13
2021,6년,여성,울산광역시,울주군,85.78,82.54,86.13,86.98,86.54,87.31,4.77
2021,6년,전체,울산광역시,울주군,83.10,78.72,83.64,83.89,84.90,85.02,6.30
2021,4년,남성,세종특별자치시,전체,82.35,78.00,81.87,82.69,85.78,85.59,7.58
2021,4년,여성,세종특별자치시,전체,87.35,84.13,88.39,86.95,88.43,90.02,5.89
2021,4년,전체,세종특별자치시,전체,85.13,81.09,85.10,85.17,87.65,88.21,7.12
2021,6년,남성,세종특별자치시,세종시,82.01,77.75,82.15,82.12,84.17,85.13,7.38
2021,6년,여성,세종특별자치시,세종시,87.20,84.25,87.10,87.05,89.04,89.31,5.06
2021,6년,전체,세종특별자치시,세종시,84.88,81.04,84.82,84.83,87.11,87.71,6.67
2021,4년,남성,경기도,전체,81.93,77.21,82.07,82.55,83.81,84.98,7.76
2021,4년,여성,경기도,전체,87.46,84.28,87.28,87.90,88.47,90.30,6.02
2021,4년,전체,경기도,전체,84.85,80.71,84.75,85.40,86.47,87.92,7.20
2021,6년,남성,경기도,수원시 장안구,81.58,76.78,82.04,82.00,83.37,85.10,8.32
2021,6년,여성,경기도,수원시 장안구,86.73,84.20,86.48,87.39,87.80,88.33,4.13
